,Product Name,Description,Price,Ratings,Brand,Model,Processor,Display Size,RAM,Storage,GPU,OS,Warranty
434,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 4 Thin and Light L...,Intel Core i7 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,"₹73,999",,Lenovo,Intel Core i7,Intel Core i7,35.56 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
435,Lenovo AMD Ryzen 3 Octa Core - (8 GB/512 GB SSD/Windows 11 Home) G4 82YTA00XIN Laptop,AMD Ryzen 3 Octa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display12 MONTHS,"₹26,890",4.0,Lenovo,AMD Ryzen 3,AMD Ryzen 3,35.56 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11,Not Found
436,MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,"₹84,990",4.4,MSI,Katana A15 AI,AMD Ryzen 7,39.62 cm,16 GB DDR5,512 GB SSD,Not Found,Windows 11,2 Year Onsite Warranty
437,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹52,990",4.3,Lenovo,IdeaPad Gaming 3,Intel Core i5,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
438,DELL AMD Ryzen 3 Quad Core 5425U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Lapt...,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,"₹40,599",4.0,DELL,AMD Ryzen 3,AMD Ryzen 3,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Hardware Service
439,HP Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-hr0001TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹57,790",4.3,HP,Intel Core i5,Intel Core i5,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
440,Acer Aspire 5 Backlit Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) A515-58M Thin ...,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,"₹44,990",4.0,Acer,Aspire 5 Backlit,Intel Core i5,39.62 cm,16 GB LPDDR5,512 GB SSD,Not Found,Windows 11,1 Year Carry-in Warranty
441,Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display2 Yr Warranty,"₹52,999",4.2,Lenovo,IdeaPad Slim 3,Intel Core i5,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,2 Yr Warranty
442,HP 250 G9 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/DOS) 7M659PA Laptop,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMDOS Operating System512 GB SSD39.62 cm (15.6 inch) DisplayDOS1 Year Domestic Warrenty,"₹33,650",4.0,HP,250 G9 Intel,Intel Core i3,39.62 cm,8 GB DDR4,512 GB SSD,Not Found,Not Found,1 Year Domestic Warrenty
443,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Aspire 3 Laptop,Intel Core i3 Processor (12th Gen)8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty,"₹31,990",4.2,Acer,Aspire 3 Intel,Intel Core i3,39.62 cm,8 GB DDR5,512 GB SSD,Not Found,Windows 11 Home,1 Year Warranty
